"ANTIOQUIA","ATLANTICO","SANTAFE DE BOGOTA D.C","BOLIVAR","BOYACA","CALDAS","CAQUETA","CAUCA","CESAR","CORDOBA","CUNDINAMARCA","CHOCO","HUILA","LA GUAJIRA","MAGDALENA","META","NARIÑO","NORTE DE SANTANDER","QUINDIO","RISARALDA","SANTANDER","SUCRE","TOLIMA","VALLE DEL CAUCA","ARAUCA","CASANARE","PUTUMAYO","AMAZONAS","GUAINIA","GUAVIARE","VAUPES","VICHADA","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA"
285443.14416505,655618.578651855,57437.9235404045,435497.904472592,153038.74638183,147562.237329556,445107.809609805,405375.896645505,526697.5687483,434868.06801043,0,343418.016853458,301712.05076512,756532.275545756,600723.348289998,207781.990603054,552252.228091128,385084.771344575,177885.722482638,202083.763171973,217994.232371445,484340.992962359,152279.264128301,287312.121223602,396807.057189042,283922.289265412,519747.513306591,760284.697714886,636409.295823217,389827.497557353,608225.471135016,520276.59414564,1214370.93126166
184985.113623847,562476.864955926,359732.684385645,406877.468568156,428128.028762029,195896.627908413,665312.195250559,397170.225652986,545635.620182245,292589.109348039,343418.016853458,0,409182.509699224,780600.666139974,555711.041214404,534335.508169742,501060.531136567,505460.509475106,219766.390232201,155288.821491635,391232.221572901,397463.226236932,286893.703850618,239612.956319351,666514.068735046,597702.878643929,625672.765616862,1031763.22695217,979791.835729181,703621.802544349,927509.146033608,849553.095050192,916384.184103542
484091.172036591,901553.46270604,250087.72342029,694516.728978688,452530.612789749,310695.246589805,268128.43404345,138098.053140534,806963.181991606,643237.768425345,301712.05076512,409182.509699224,0,1044551.69838204,863549.964013553,309609.87489025,273244.035971635,681867.636484686,214547.854198573,281443.686029744,514610.719225301,723696.137587219,171542.594289112,177180.709322255,679884.999712258,544999.6171508,233510.917729429,644510.702666427,761094.009245488,397299.04341133,602777.528069242,728956.917351243,1319813.52411506
606165.578642714,286303.16111622,813894.058517521,374770.786959009,632673.560404673,745356.187346302,1191254.38988417,1111819.83008034,241397.534834522,499205.990577884,756532.275545756,780600.666139974,1044551.69838204,0,238179.655857605,899973.072586022,1246807.63984422,376605.823931072,847406.414025928,800208.645691379,539346.949862725,391036.125553474,873893.229531524,949614.166762967,567033.633980502,678374.380454189,1273027.39031256,1442094.7810227,1052373.27307198,1056305.57062709,1216456.13692614,821011.289269563,1001643.33068512
393750.796203762,90555.5301367459,656951.467304776,169095.851860621,510656.3261825,553906.600602039,1045829.48902802,912455.903997516,112662.155833553,266262.407473068,600723.348289998,555711.041214404,863549.964013553,238179.655857605,0,777802.835420189,1039790.2222426,283018.647571372,654627.51608278,598638.459874177,401960.846638993,158563.263323175,692543.572503405,746368.02675487,546360.911309748,612223.122666,1096660.34859524,1339188.64762026,1032896.45698192,951623.686189826,1140152.53552051,815080.42552049,847952.356651277
493029.917982182,842267.213119216,175272.114634698,621052.726251796,270223.821214502,344864.162321026,303244.965658285,446349.548788619,689320.616301204,639120.843489272,207781.990603054,534335.508169742,309609.87489025,899973.072586022,777802.835420189,0,581647.033387073,524731.432201057,328584.395396847,380863.565814666,376063.723054437,678450.708869344,267830.034152291,401052.808792241,418150.206193459,271321.513145715,453329.813691622,563093.805748099,468974.224988761,182827.354916799,400722.083858288,419982.741368745,1421762.39357801
646175.656140109,1058376.90548401,508802.463377367,876746.182426277,705082.79977403,505533.858231933,442772.151620871,146907.161904366,1005415.04837945,787510.513361935,552252.228091128,501060.531136567,273244.035971635,1246807.63984422,1039790.2222426,581647.033387073,0,908005.511220734,406084.083522429,446680.714406107,746642.210687518,885887.731253716,401675.584667869,297435.018643838,944479.911664488,814556.978401059,256361.085625804,787389.356772594,1019000.62978779,642504.750576083,820814.111032878,1001559.87834585,1320591.5893755
322407.763972437,366873.933066698,441812.487250926,191069.818254715,256138.900520452,404313.766160914,814725.831915444,765558.26011561,175924.53190253,320404.965088009,385084.771344575,505460.509475106,681867.636484686,376605.823931072,283018.647571372,524731.432201057,908005.511220734,0,501933.389592878,469829.238808875,167543.550826931,267573.016206993,515501.675388095,613747.331772217,271355.542605078,330199.325964222,904733.805818988,1075507.66415028,750806.306837284,687360.464737096,864028.347917429,537425.953161881,1088553.70548705
269798.019994739,688579.91511365,165132.227986675,486442.459797878,317809.706278258,102124.932924797,451128.096408258,265282.014290773,606741.03804444,428690.550830134,177885.722482638,219766.390232201,214547.854198573,847406.414025928,654627.51608278,328584.395396847,406084.083522429,501933.389592878,0,70092.6259096916,342186.157392574,510811.305611642,67238.319236852,115692.412602391,568860.338748114,461770.473765654,447062.858831357,812888.298947232,791536.445047457,488183.462443159,711771.737659036,694852.16618258,1134504.38203922
207546.756643355,627503.114503811,208078.851762439,432428.308277553,319306.283756067,70836.6644552479,521111.69337278,313976.046145877,558812.497834515,363519.031486186,202083.763171973,155288.821491635,281443.686029744,800208.645691379,598638.459874177,380863.565814666,446680.714406107,469829.238808875,70092.6259096916,0,320286.49485356,450437.240927425,134585.465319258,149421.051052108,570293.735256168,477729.112914027,511904.729492585,881226.739946678,834541.963178036,548359.359942907,772253.540470738,721219.518931553,1066289.88568892
